symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
4503.T,Astellas Pharma Inc.,EQUITY,JPY,japan,"{'raw': 3652312891392, 'fmt': '3.652T', 'longFmt': '3,652,312,891,392'}",26754912009,astellas
7751.T,Canon Inc.,EQUITY,JPY,japan,"{'raw': 3526203539456, 'fmt': '3.526T', 'longFmt': '3,526,203,539,456'}",25831101614,canon
4543.T,Terumo Corporation,EQUITY,JPY,japan,"{'raw': 3492505714688, 'fmt': '3.493T', 'longFmt': '3,492,505,714,688'}",25584249177,terumo
6702.T,Fujitsu Limited,EQUITY,JPY,japan,"{'raw': 3359355699200, 'fmt': '3.359T', 'longFmt': '3,359,355,699,200'}",24608862606,fujitsu
2413.T,"M3, Inc.",EQUITY,JPY,japan,"{'raw': 3216500326400, 'fmt': '3.217T', 'longFmt': '3,216,500,326,400'}",23562379721,m3
4689.T,Z Holdings Corporation,EQUITY,JPY,japan,"{'raw': 3169598308352, 'fmt': '3.17T', 'longFmt': '3,169,598,308,352'}",23218800350,"z,holdings"
9022.T,Central Japan Railway Company,EQUITY,JPY,japan,"{'raw': 3154688081920, 'fmt': '3.155T', 'longFmt': '3,154,688,081,920'}",23109575920,"central,japan"
4901.T,FUJIFILM Holdings Corporation,EQUITY,JPY,japan,"{'raw': 2902972694528, 'fmt': '2.903T', 'longFmt': '2,902,972,694,528'}",21265642160,fujifilm
8113.T,Unicharm Corporation,EQUITY,JPY,japan,"{'raw': 2891061133312, 'fmt': '2.891T', 'longFmt': '2,891,061,133,312'}",21178384364,unicharm
4452.T,Kao Corporation,EQUITY,JPY,japan,"{'raw': 2876135964672, 'fmt': '2.876T', 'longFmt': '2,876,135,964,672'}",21069050475,"kao,corporation"
9613.T,NTT DATA Corporation,EQUITY,JPY,japan,"{'raw': 2796584960000, 'fmt': '2.797T', 'longFmt': '2,796,584,960,000'}",20486301901,"ntt,data"
6971.T,Kyocera Corporation,EQUITY,JPY,japan,"{'raw': 2784627523584, 'fmt': '2.785T', 'longFmt': '2,784,627,523,584'}",20398708048,kyocera
8591.T,ORIX Corporation,EQUITY,JPY,japan,"{'raw': 2748345483264, 'fmt': '2.748T', 'longFmt': '2,748,345,483,264'}",20132925015,orix
6301.T,Komatsu Ltd.,EQUITY,JPY,japan,"{'raw': 2735735832576, 'fmt': '2.736T', 'longFmt': '2,735,735,832,576'}",20040553385,komatsu
9020.T,East Japan Railway Company,EQUITY,JPY,japan,"{'raw': 2686082875392, 'fmt': '2.686T', 'longFmt': '2,686,082,875,392'}",19676822089,"east,japan"
6752.T,Panasonic Holdings Corporation,EQUITY,JPY,japan,"{'raw': 2621183098880, 'fmt': '2.621T', 'longFmt': '2,621,183,098,880'}",19201400661,panasonic
6326.T,Kubota Corporation,EQUITY,JPY,japan,"{'raw': 2599953104896, 'fmt': '2.6T', 'longFmt': '2,599,953,104,896'}",19045880957,kubota
4612.T,"Nippon Paint Holdings Co., Ltd.",EQUITY,JPY,japan,"{'raw': 2512605937664, 'fmt': '2.513T', 'longFmt': '2,512,605,937,664'}",18406021820,"nippon,paint"
4578.T,"Otsuka Holdings Co., Ltd.",EQUITY,JPY,japan,"{'raw': 2491206336512, 'fmt': '2.491T', 'longFmt': '2,491,206,336,512'}",18249259664,otsuka
8750.T,"Dai-ichi Life Holdings, Inc.",EQUITY,JPY,japan,"{'raw': 2486937321472, 'fmt': '2.487T', 'longFmt': '2,486,937,321,472'}",18217987118,dai-ichi
2502.T,"Asahi Group Holdings, Ltd.",EQUITY,JPY,japan,"{'raw': 2457650069504, 'fmt': '2.458T', 'longFmt': '2,457,650,069,504'}",18003444204,"asahi,group"
8002.T,Marubeni Corporation,EQUITY,JPY,japan,"{'raw': 2411316379648, 'fmt': '2.411T', 'longFmt': '2,411,316,379,648'}",17664028105,marubeni
3659.T,"NEXON Co., Ltd.",EQUITY,JPY,japan,"{'raw': 2409587277824, 'fmt': '2.41T', 'longFmt': '2,409,587,277,824'}",17651361620,nexon
6201.T,Toyota Industries Corporation,EQUITY,JPY,japan,"{'raw': 2406220038144, 'fmt': '2.406T', 'longFmt': '2,406,220,038,144'}",17626695003,"toyota,industries"
6723.T,Renesas Electronics Corporation,EQUITY,JPY,japan,"{'raw': 2374954385408, 'fmt': '2.375T', 'longFmt': '2,374,954,385,408'}",17397659372,renesas
8267.T,"Aeon Co., Ltd.",EQUITY,JPY,japan,"{'raw': 2369689485312, 'fmt': '2.37T', 'longFmt': '2,369,689,485,312'}",17359091500,"aeon,co"
7269.T,Suzuki Motor Corporation,EQUITY,JPY,japan,"{'raw': 2335962038272, 'fmt': '2.336T', 'longFmt': '2,335,962,038,272'}",17112022066,"suzuki,motor"
7832.T,BANDAI NAMCO Holdings Inc.,EQUITY,JPY,japan,"{'raw': 2321857118208, 'fmt': '2.322T', 'longFmt': '2,321,857,118,208'}",17008696884,bandai
8725.T,"MS&AD Insurance Group Holdings, Inc.",EQUITY,JPY,japan,"{'raw': 2284679856128, 'fmt': '2.285T', 'longFmt': '2,284,679,856,128'}",16736355930,ms&ad
7309.T,Shimano Inc.,EQUITY,JPY,japan,"{'raw': 2263437017088, 'fmt': '2.263T', 'longFmt': '2,263,437,017,088'}",16580742130,shimano
6502.T,Toshiba Corporation,EQUITY,JPY,japan,"{'raw': 2262290399232, 'fmt': '2.262T', 'longFmt': '2,262,290,399,232'}",16572342614,toshiba
4307.T,"Nomura Research Institute, Ltd.",EQUITY,JPY,japan,"{'raw': 2240382763008, 'fmt': '2.24T', 'longFmt': '2,240,382,763,008'}",16411858861,"nomura,research"
4911.T,"Shiseido Company, Limited",EQUITY,JPY,japan,"{'raw': 2173646929920, 'fmt': '2.174T', 'longFmt': '2,173,646,929,920'}",15922987454,shiseido
1925.T,"Daiwa House Industry Co., Ltd.",EQUITY,JPY,japan,"{'raw': 2095514779648, 'fmt': '2.096T', 'longFmt': '2,095,514,779,648'}",15350632656,"daiwa,house"
7201.T,"Nissan Motor Co., Ltd.",EQUITY,JPY,japan,"{'raw': 2095410315264, 'fmt': '2.095T', 'longFmt': '2,095,410,315,264'}",15349867405,nissan
1605.T,Inpex Corporation,EQUITY,JPY,japan,"{'raw': 2092132597760, 'fmt': '2.092T', 'longFmt': '2,092,132,597,760'}",15325856581,inpex
4507.T,"Shionogi & Co., Ltd.",EQUITY,JPY,japan,"{'raw': 2072833949696, 'fmt': '2.073T', 'longFmt': '2,072,833,949,696'}",15184484895,shionogi
8630.T,"Sompo Holdings, Inc.",EQUITY,JPY,japan,"{'raw': 2019389210624, 'fmt': '2.019T', 'longFmt': '2,019,389,210,624'}",14792977011,sompo
2802.T,"Ajinomoto Co., Inc.",EQUITY,JPY,japan,"{'raw': 2006810755072, 'fmt': '2.007T', 'longFmt': '2,006,810,755,072'}",14700833901,ajinomoto
5401.T,Nippon Steel Corporation,EQUITY,JPY,japan,"{'raw': 1976191287296, 'fmt': '1.976T', 'longFmt': '1,976,191,287,296'}",14476531879,"nippon,steel"
9735.T,"SECOM CO., LTD.",EQUITY,JPY,japan,"{'raw': 1952600686592, 'fmt': '1.953T', 'longFmt': '1,952,600,686,592'}",14303719618,secom
7270.T,Subaru Corporation,EQUITY,JPY,japan,"{'raw': 1913652248576, 'fmt': '1.914T', 'longFmt': '1,913,652,248,576'}",14018403967,subaru
6762.T,TDK Corporation,EQUITY,JPY,japan,"{'raw': 1879963992064, 'fmt': '1.88T', 'longFmt': '1,879,963,992,064'}",13771621622,tdk
4684.T,"OBIC Co.,Ltd.",EQUITY,JPY,japan,"{'raw': 1871105753088, 'fmt': '1.871T', 'longFmt': '1,871,105,753,088'}",13706730850,obic
2503.T,"Kirin Holdings Company, Limited",EQUITY,JPY,japan,"{'raw': 1854326702080, 'fmt': '1.854T', 'longFmt': '1,854,326,702,080'}",13583816399,"kirin,holdings"
9101.T,Nippon Yusen Kabushiki Kaisha,EQUITY,JPY,japan,"{'raw': 1824487243776, 'fmt': '1.824T', 'longFmt': '1,824,487,243,776'}",13365228314,kabushiki
6920.T,Lasertec Corporation,EQUITY,JPY,japan,"{'raw': 1808968712192, 'fmt': '1.809T', 'longFmt': '1,808,968,712,192'}",13251547761,lasertec
6869.T,Sysmex Corporation,EQUITY,JPY,japan,"{'raw': 1804513968128, 'fmt': '1.805T', 'longFmt': '1,804,513,968,128'}",13218914663,sysmex
8015.T,Toyota Tsusho Corporation,EQUITY,JPY,japan,"{'raw': 1725809557504, 'fmt': '1.726T', 'longFmt': '1,725,809,557,504'}",12642367789,tsusho
8421.T,Shinkin Central Bank,EQUITY,JPY,japan,"{'raw': 1692483846144, 'fmt': '1.692T', 'longFmt': '1,692,483,846,144'}",12398241258,shinkin
4151.T,"Kyowa Kirin Co., Ltd.",EQUITY,JPY,japan,"{'raw': 1684523319296, 'fmt': '1.685T', 'longFmt': '1,684,523,319,296'}",12339926650,kyowa
2801.T,Kikkoman Corporation,EQUITY,JPY,japan,"{'raw': 1682195087360, 'fmt': '1.682T', 'longFmt': '1,682,195,087,360'}",12322871255,kikkoman
4528.T,"Ono Pharmaceutical Co., Ltd.",EQUITY,JPY,japan,"{'raw': 1671764770816, 'fmt': '1.672T', 'longFmt': '1,671,764,770,816'}",12246464274,"ono,pharmaceutical"
5020.T,"ENEOS Holdings, Inc.",EQUITY,JPY,japan,"{'raw': 1648365928448, 'fmt': '1.648T', 'longFmt': '1,648,365,928,448'}",12075056734,eneos
4523.T,"Eisai Co., Ltd.",EQUITY,JPY,japan,"{'raw': 1646541012992, 'fmt': '1.647T', 'longFmt': '1,646,541,012,992'}",12061688368,eisai
2587.T,Suntory Beverage & Food Limited,EQUITY,JPY,japan,"{'raw': 1606799982592, 'fmt': '1.607T', 'longFmt': '1,606,799,982,592'}",11770566605,suntory
1928.T,"Sekisui House, Ltd.",EQUITY,JPY,japan,"{'raw': 1589870592000, 'fmt': '1.59T', 'longFmt': '1,589,870,592,000'}",11646550845,sekisui
6857.T,Advantest Corporation,EQUITY,JPY,japan,"{'raw': 1566732845056, 'fmt': '1.567T', 'longFmt': '1,566,732,845,056'}",11477055952,advantest
9843.T,"Nitori Holdings Co., Ltd.",EQUITY,JPY,japan,"{'raw': 1528963923968, 'fmt': '1.529T', 'longFmt': '1,528,963,923,968'}",11200380818,nitori
