symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
300316.SZ,"Zhejiang Jingsheng Mechanical & Electrical Co., Ltd.",EQUITY,CNY,china,"{'raw': 103671676928, 'fmt': '103.672B', 'longFmt': '103,671,676,928'}",15131459039,jingsheng
600989.SS,"Ningxia Baofeng Energy Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 102227034112, 'fmt': '102.227B', 'longFmt': '102,227,034,112'}",14920605369,ningxia
600919.SS,"Bank of Jiangsu Co., Ltd.",EQUITY,CNY,china,"{'raw': 101171765248, 'fmt': '101.172B', 'longFmt': '101,171,765,248'}",14766582997,"bank,of,jiangsu"
300763.SZ,"Ginlong Technologies Co., Ltd.",EQUITY,CNY,china,"{'raw': 99923877888, 'fmt': '99.924B', 'longFmt': '99,923,877,888'}",14584446882,ginlong
002050.SZ,"Zhejiang Sanhua Intelligent Controls Co.,Ltd",EQUITY,CNY,china,"{'raw': 98899443712, 'fmt': '98.899B', 'longFmt': '98,899,443,712'}",14434925004,sanhua
605117.SS,"Ningbo Deye Technology Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 98720366592, 'fmt': '98.72B', 'longFmt': '98,720,366,592'}",14408787700,deye
000166.SZ,"Shenwan Hongyuan Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 97048633344, 'fmt': '97.049B', 'longFmt': '97,048,633,344'}",14164788916,shenwan
600029.SS,China Southern Airlines Company Limited,EQUITY,CNY,china,"{'raw': 97169932288, 'fmt': '97.17B', 'longFmt': '97,169,932,288'}",14182493173,"china,southern,airlines"
002709.SZ,"Guangzhou Tinci Materials Technology Co., Ltd.",EQUITY,CNY,china,"{'raw': 97238368256, 'fmt': '97.238B', 'longFmt': '97,238,368,256'}",14192481784,tinci
600196.SS,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",EQUITY,CNY,china,"{'raw': 96998924288, 'fmt': '96.999B', 'longFmt': '96,998,924,288'}",14157533602,fosun
600660.SS,"Fuyao Glass Industry Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 95589203968, 'fmt': '95.589B', 'longFmt': '95,589,203,968'}",13951777065,fuyao
601127.SS,"Seres Group Co.,Ltd.",EQUITY,CNY,china,"{'raw': 95216828416, 'fmt': '95.217B', 'longFmt': '95,216,828,416'}",13897426777,"seres,group"
000538.SZ,"Yunnan Baiyao Group Co.,Ltd",EQUITY,CNY,china,"{'raw': 95516712960, 'fmt': '95.517B', 'longFmt': '95,516,712,960'}",13941196598,baiyao
600089.SS,"TBEA Co., Ltd.",EQUITY,CNY,china,"{'raw': 94390665216, 'fmt': '94.391B', 'longFmt': '94,390,665,216'}",13776843654,tbea
601006.SS,"Daqin Railway Co., Ltd.",EQUITY,CNY,china,"{'raw': 94107475968, 'fmt': '94.107B', 'longFmt': '94,107,475,968'}",13735510605,daqin
300450.SZ,"Wuxi Lead Intelligent Equipment CO.,LTD.",EQUITY,CNY,china,"{'raw': 94060167168, 'fmt': '94.06B', 'longFmt': '94,060,167,168'}",13728605622,"wuxi,lead"
600010.SS,"Inner Mongolia Baotou Steel Union Co., Ltd.",EQUITY,CNY,china,"{'raw': 94360944640, 'fmt': '94.361B', 'longFmt': '94,360,944,640'}",13772505770,"inner,mongolia"
000338.SZ,"Weichai Power Co., Ltd.",EQUITY,CNY,china,"{'raw': 93798449152, 'fmt': '93.798B', 'longFmt': '93,798,449,152'}",13690406419,weichai
000895.SZ,"Henan Shuanghui Investment & Development Co.,Ltd.",EQUITY,CNY,china,"{'raw': 92935028736, 'fmt': '92.935B', 'longFmt': '92,935,028,736'}",13564385397,shuanghui
603659.SS,"Shanghai Putailai New Energy Technology Co.,Ltd.",EQUITY,CNY,china,"{'raw': 91882848256, 'fmt': '91.883B', 'longFmt': '91,882,848,256'}",13410813792,putailai
600256.SS,"Guanghui Energy Co., Ltd.",EQUITY,CNY,china,"{'raw': 90213539840, 'fmt': '90.214B', 'longFmt': '90,213,539,840'}",13167168925,guanghui
603806.SS,"Hangzhou First Applied Material Co., Ltd.",EQUITY,CNY,china,"{'raw': 90052722688, 'fmt': '90.053B', 'longFmt': '90,052,722,688'}",13143696765,"hangzhou,first"
300751.SZ,"Suzhou Maxwell Technologies Co., Ltd.",EQUITY,CNY,china,"{'raw': 88583364608, 'fmt': '88.583B', 'longFmt': '88,583,364,608'}",12929235764,"suzhou,maxwell"
002736.SZ,"Guosen Securities Co., Ltd.",EQUITY,CNY,china,"{'raw': 88434360320, 'fmt': '88.434B', 'longFmt': '88,434,360,320'}",12907487758,guosen
